athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
10028868,Lengde uten tilløp,False,2025,11,"1,74",,4,Bækkelagets SK,2025-02-24,Bekkelaget Skole,"Oslo/Bk, Klubbmesterskap i hopp uten tilløp","2025-02-24|Bekkelaget Skole|Oslo/Bk, Klubbmesterskap i hopp uten tilløp",True,
10008794,200 meter,True,2023,18,"27,30","+0,0",3,ISS,2023-05-10,Ålgård Stadion,"Ålgård, Coop-Jærcup 2","2023-05-10|Ålgård Stadion|Ålgård, Coop-Jærcup 2",True,
10008794,Tresteg,True,2023,18,"9,65","+0,3",1,ISS,2023-05-10,Ålgård Stadion,"Ålgård, Coop-Jærcup 2","2023-05-10|Ålgård Stadion|Ålgård, Coop-Jærcup 2",True,
43345,60 meter,True,2017,11,"12,67","-2,0",2,Sømna IL,2017-07-27,Sømna Stadion,"Vik, Kretstevne","2017-07-27|Sømna Stadion|Vik, Kretstevne",True,
43345,"Lengde (Sone 0,5m)",True,2017,11,"1,99(ok)",,2,Sømna IL,2017-07-27,Sømna Stadion,"Vik, Kretstevne","2017-07-27|Sømna Stadion|Vik, Kretstevne",True,
43345,"Kule 2,0kg",True,2017,11,"4,05",,3,Sømna IL,2017-07-27,Sømna Stadion,"Vik, Kretstevne","2017-07-27|Sømna Stadion|Vik, Kretstevne",True,
43345,Diskos 600gram,True,2018,12,"14,06",,1,Sømna IL,2018-07-05,Sømna Stadion,"Vik, Kretsstevne 3","2018-07-05|Sømna Stadion|Vik, Kretsstevne 3",True,
10016216,60 meter,True,2024,12,"11,466-h1Sportsklubben Vidar22.05.24Oslo/Bi, Bislettlekene 2024Manglende informasjon om vind",,6-h1,Sportsklubben Vidar,2024-05-22,Bislett Stadion,"Oslo/Bi, Bislettlekene 2024","2024-05-22|Bislett Stadion|Oslo/Bi, Bislettlekene 2024",False,Manglende informasjon om vind
10016216,"Lengde (Sone 0,5m)",True,2024,12,"2,42","-0,6",9,Sportsklubben Vidar,2024-05-22,Bislett Stadion,"Oslo/Bi, Bislettlekene 2024","2024-05-22|Bislett Stadion|Oslo/Bi, Bislettlekene 2024",True,
10016216,"Kule 3,0kg",True,2024,12,"3,58",,3,Sportsklubben Vidar,2024-05-22,Bislett Stadion,"Oslo/Bi, Bislettlekene 2024","2024-05-22|Bislett Stadion|Oslo/Bi, Bislettlekene 2024",True,
10016216,60 meter,False,2024,12,"10,60",,6-h1,Sportsklubben Vidar,2024-02-03,Nes Arena,"Hvam, Norgeslekene inne","2024-02-03|Nes Arena|Hvam, Norgeslekene inne",True,
10016216,600 meter,False,2024,12,"2,55,26",,7-h2,Sportsklubben Vidar,2024-02-03,Nes Arena,"Hvam, Norgeslekene inne","2024-02-03|Nes Arena|Hvam, Norgeslekene inne",True,
10016214,60 meter,True,2024,11,"11,727Sportsklubben Vidar22.05.24Oslo/Bi, Bislettlekene 2024Manglende informasjon om vind",,7,Sportsklubben Vidar,2024-05-22,Bislett Stadion,"Oslo/Bi, Bislettlekene 2024","2024-05-22|Bislett Stadion|Oslo/Bi, Bislettlekene 2024",False,Manglende informasjon om vind
10016214,"Lengde (Sone 0,5m)",True,2024,11,"2,99","-0,7",5,Sportsklubben Vidar,2024-05-22,Bislett Stadion,"Oslo/Bi, Bislettlekene 2024","2024-05-22|Bislett Stadion|Oslo/Bi, Bislettlekene 2024",True,
10016214,"Kule 2,0kg",True,2024,11,"5,39",,2,Sportsklubben Vidar,2024-05-22,Bislett Stadion,"Oslo/Bi, Bislettlekene 2024","2024-05-22|Bislett Stadion|Oslo/Bi, Bislettlekene 2024",True,
