athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
31659,3000 meter,True,1988,19,"10,18,0",,2,Kirkenes IF,1988-07-01,,Mosjøen,,True,
31659,3000 meter,True,2015,46,"11,27,72",,1,Haugsbygd IF,2015-08-26,Hønefoss Idrettspark,"Hønefoss, Treningstevne","2015-08-26|Hønefoss Idrettspark|Hønefoss, Treningstevne",False,Ikke medlem av NFIF
15966,3000 meter,False,2016,20,"10,51,2",,7,Trondheim Friidrett,2016-02-08,Ranheim Friidrettshall,"Ranheim, Trøndersk Vinterkarusell løp 5","2016-02-08|Ranheim Friidrettshall|Ranheim, Trøndersk Vinterkarusell løp 5",True,
15966,3000 meter,False,2016,20,"12,06,0",,5,Trondheim Friidrett,2016-01-11,Ranheim Friidrettshall,"Ranheim, Trøndersk Vinterkarusell løp 4","2016-01-11|Ranheim Friidrettshall|Ranheim, Trøndersk Vinterkarusell løp 4",True,
15966,3000 meter,False,2013,17,"10,36,0",,4,Ranheim Idrettslag,2013-01-14,Ranheim Friidrettshall,"Ranheim, Vinterkarusellen løp 4","2013-01-14|Ranheim Friidrettshall|Ranheim, Vinterkarusellen løp 4",True,
10026954,60 meter,True,2024,11,"10,34Idrettslaget Varden Meråker16.09.24Meråker, Stjørdal FriidrettskarusellManglende informasjon om vind",,4,Idrettslaget Varden Meråker,2024-09-16,Vardetun,"Meråker, Stjørdal Friidrettskarusell","2024-09-16|Vardetun|Meråker, Stjørdal Friidrettskarusell",False,Manglende informasjon om vind
10026954,600 meter,True,2024,11,"2,42",,8,Idrettslaget Varden Meråker,2024-09-16,Vardetun,"Meråker, Stjørdal Friidrettskarusell","2024-09-16|Vardetun|Meråker, Stjørdal Friidrettskarusell",False,Utilstrekkelig tidtaking/Insufficient timing
10026954,"Lengde (Sone 0,5m)",True,2024,11,"2,3010Idrettslaget Varden Meråker16.09.24Meråker, Stjørdal FriidrettskarusellManglende informasjon om vind",,10,Idrettslaget Varden Meråker,2024-09-16,Vardetun,"Meråker, Stjørdal Friidrettskarusell","2024-09-16|Vardetun|Meråker, Stjørdal Friidrettskarusell",False,Manglende informasjon om vind
10026954,"Kule 2,0kg",True,2024,11,"5,50",,8,Idrettslaget Varden Meråker,2024-09-16,Vardetun,"Meråker, Stjørdal Friidrettskarusell","2024-09-16|Vardetun|Meråker, Stjørdal Friidrettskarusell",True,
54238,1500 meter,True,1982,24,"3,59,67",,6,FIK Ren-Eng,1982-07-24,,Byrkjelo,,True,
